mpg,cylinders,displacement,horsepower,weight,acceleration,age
32.7,6,168.0,132,2910,11.4,39
28.0,4,140.0,90,2264,15.5,48
22.0,6,198.0,95,2833,15.5,49
17.0,6,250.0,100,3329,15.5,48
16.5,8,351.0,138,3955,13.2,40
13.0,8,350.0,145,4055,12.0,43
38.0,4,105.0,63,2125,14.7,37
25.0,4,116.0,81,2220,16.9,43
27.9,4,156.0,105,2800,14.4,39
18.0,6,250.0,78,3574,21.0,43
17.5,8,318.0,140,4080,13.7,41
27.2,4,135.0,84,2490,15.7,38
29.0,4,90.0,70,1937,14.2,43
24.0,4,134.0,96,2702,13.5,44
15.0,6,258.0,110,3730,19.0,44
31.3,4,120.0,75,2542,17.5,39
21.5,6,231.0,115,3245,15.4,40
13.0,8,440.0,215,4735,11.0,46
18.0,6,250.0,105,3459,16.0,44
36.0,4,135.0,84,2370,13.0,37
13.0,8,350.0,145,3988,13.0,46
13.0,8,350.0,165,4274,12.0,47
23.2,4,156.0,105,2745,16.7,41
20.0,4,140.0,90,2408,19.5,47
14.0,8,455.0,225,3086,10.0,49
28.0,4,97.0,92,2288,17.0,47
29.0,4,97.0,75,2171,16.0,44
19.0,6,232.0,90,3211,17.0,44
30.0,4,135.0,84,2385,12.9,38
33.0,4,105.0,74,2190,14.2,38
15.0,8,429.0,198,4341,10.0,49
35.0,4,122.0,88,2500,15.1,39
15.5,8,304.0,120,3962,13.9,43
22.5,6,232.0,90,3085,17.6,43
22.3,4,140.0,88,2890,17.3,40
31.8,4,85.0,65,2020,19.2,40
28.4,4,151.0,90,2670,16.0,40
44.0,4,97.0,52,2130,24.6,37
15.5,8,318.0,145,4140,13.7,42
14.0,8,318.0,150,4077,14.0,47
27.0,4,112.0,88,2640,18.6,37
24.2,6,146.0,120,2930,13.8,38
24.0,4,107.0,90,2430,14.5,49
26.0,4,97.0,46,1835,20.5,49
26.5,4,140.0,72,2565,13.6,43
17.6,6,225.0,85,3465,16.6,38
23.0,4,115.0,95,2694,15.0,44
32.8,4,78.0,52,1985,19.4,41
15.0,8,304.0,150,3892,12.5,47
17.0,8,302.0,140,3449,10.5,49
15.0,8,350.0,165,3693,11.5,49
34.3,4,97.0,78,2188,15.8,39
22.0,6,232.0,112,2835,14.7,37
31.0,4,119.0,82,2720,19.4,37
19.2,8,305.0,145,3425,13.2,41
34.1,4,86.0,65,1975,15.2,40
28.0,4,116.0,90,2123,14.0,48
30.5,4,97.0,78,2190,14.1,42
23.0,4,122.0,86,2220,14.0,48
23.0,4,140.0,78,2592,18.5,44
18.1,6,258.0,120,3410,15.1,41
19.0,6,232.0,100,2634,13.0,48
22.0,6,225.0,100,3233,15.4,43
20.0,6,156.0,122,2807,13.5,46
28.0,4,112.0,88,2605,19.6,37
16.0,6,250.0,100,3278,18.0,46
24.5,4,98.0,60,2164,22.1,43
33.5,4,98.0,83,2075,15.9,42
20.2,6,200.0,85,2965,15.8,41
28.0,4,151.0,90,2678,16.5,39
35.1,4,81.0,60,1760,16.1,38
32.4,4,107.0,72,2290,17.0,39
24.0,4,121.0,110,2660,14.0,46
27.0,4,151.0,90,2950,17.3,37
16.0,8,400.0,170,4668,11.5,44
19.9,8,260.0,110,3365,15.5,41
34.7,4,105.0,63,2215,14.9,38
25.0,6,181.0,110,2945,16.4,37
32.3,4,97.0,67,2065,17.8,38
37.0,4,119.0,92,2434,15.0,39
20.0,8,262.0,110,3221,13.5,44
16.0,6,258.0,110,3632,18.0,45
24.0,4,140.0,92,2865,16.4,37
25.4,5,183.0,77,3530,20.1,40
14.0,8,340.0,160,3609,8.0,49
29.0,4,90.0,70,1937,14.0,44
46.6,4,86.0,65,2110,17.9,39
25.0,4,140.0,75,2542,17.0,45
40.8,4,85.0,65,2110,19.2,39
19.0,6,156.0,108,2930,15.5,43
37.7,4,89.0,62,2050,17.3,38
23.7,3,70.0,100,2420,12.5,39
20.5,6,200.0,95,3155,18.2,41
32.0,4,71.0,65,1836,21.0,45
29.0,4,98.0,83,2219,16.5,45
31.5,4,89.0,71,1990,14.9,41
18.5,6,250.0,110,3645,16.2,43
36.0,4,98.0,70,2125,17.3,37
18.0,6,250.0,88,3021,16.5,46
27.0,4,97.0,88,2130,14.5,49
13.0,8,360.0,170,4654,13.0,46
13.0,8,400.0,190,4422,12.5,47
19.0,6,232.0,100,2901,16.0,45
18.0,6,199.0,97,2774,15.5,49
26.8,6,173.0,115,2700,12.9,40
19.8,6,200.0,85,2990,18.2,40
26.0,4,156.0,92,2585,14.5,37
17.7,6,231.0,165,3445,13.4,41
14.0,8,318.0,150,4237,14.5,46
15.0,8,383.0,170,3563,10.0,49
10.0,8,307.0,200,4376,15.0,49
17.5,8,305.0,140,4215,13.0,43
18.0,6,225.0,105,3613,16.5,45
29.8,4,134.0,90,2711,15.5,39
21.1,4,134.0,95,2515,14.8,41
20.0,4,114.0,91,2582,14.0,46
29.8,4,89.0,62,1845,15.3,39
