"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","group E","associate's degree","standard","none","70","76","69"
"female","group C","some college","standard","none","47","52","50"
"male","group E","high school","standard","none","75","72","68"
"female","group B","some college","free/reduced","completed","44","52","54"
"female","group B","bachelor's degree","standard","completed","67","76","80"
"female","group B","some college","free/reduced","none","50","52","54"
"female","group D","associate's degree","standard","none","82","84","86"
"female","group C","some college","standard","none","63","77","78"
"female","group B","some high school","standard","completed","82","81","86"
"male","group D","some high school","standard","completed","81","65","73"
"female","group D","associate's degree","standard","none","66","80","79"
"male","group A","associate's degree","free/reduced","completed","75","80","84"
"male","group D","high school","standard","completed","74","79","81"
"female","group D","bachelor's degree","standard","none","69","71","72"
"male","group C","master's degree","standard","none","80","81","76"
"male","group C","master's degree","standard","completed","85","79","85"
"female","group B","some high school","standard","none","55","56","58"
"female","group D","some college","standard","none","71","76","81"
"female","group B","some high school","standard","none","40","46","42"
"male","group E","some college","standard","none","75","66","64"
"male","group E","some college","standard","none","81","67","67"
"male","group C","some college","free/reduced","completed","67","74","74"
"female","group C","associate's degree","free/reduced","completed","46","56","54"
"male","group C","some college","free/reduced","none","18","25","20"
"female","group D","high school","standard","none","66","69","67"
"female","group C","some high school","standard","completed","29","38","43"
"female","group E","bachelor's degree","free/reduced","completed","79","81","87"
"female","group C","some high school","standard","completed","78","85","88"
"female","group B","some high school","standard","none","70","80","82"
"female","group D","high school","free/reduced","completed","58","74","77"
"male","group C","some college","standard","completed","77","73","73"
"female","group C","high school","free/reduced","none","63","69","67"
"male","group C","some college","standard","completed","72","63","69"
"male","group D","some high school","standard","none","88","90","88"
"male","group C","high school","standard","none","80","67","69"
"male","group D","some college","standard","completed","66","66","69"
"male","group C","associate's degree","standard","none","83","93","89"
"female","group D","associate's degree","free/reduced","none","57","58","62"
"male","group E","high school","standard","none","84","64","63"
"female","group D","some college","standard","none","75","92","89"
"male","group D","associate's degree","free/reduced","none","48","58","55"
"female","group D","some high school","free/reduced","none","32","53","45"
"female","group C","some college","standard","none","59","60","63"
"female","group B","associate's degree","standard","completed","48","63","52"
"female","group B","associate's degree","standard","none","64","63","65"
"female","group D","some college","standard","none","73","81","78"
"female","group B","high school","free/reduced","none","51","59","64"
"male","group E","some college","free/reduced","completed","96","94","90"
"male","group C","master's degree","standard","completed","95","89","90"
"male","group D","high school","standard","completed","79","75","78"
"female","group C","associate's degree","standard","none","72","88","83"
"male","group D","high school","standard","completed","62","62","58"
"female","group C","some high school","standard","completed","73","87","87"
"female","group B","associate's degree","standard","none","86","91","82"
"male","group B","associate's degree","standard","completed","81","76","75"
"female","group A","bachelor's degree","standard","completed","84","93","92"
"male","group D","bachelor's degree","standard","none","90","78","77"
"female","group D","master's degree","standard","none","48","67","64"
"female","group B","high school","free/reduced","none","38","49","38"
"female","group A","bachelor's degree","standard","completed","76","90","93"
"female","group C","bachelor's degree","free/reduced","none","47","71","62"
"female","group C","some college","free/reduced","completed","54","78","74"
"male","group B","associate's degree","free/reduced","completed","64","61","62"
"male","group C","some college","standard","none","54","57","55"
"male","group E","some high school","standard","completed","96","86","86"
"male","group C","associate's degree","free/reduced","none","67","70","67"
"female","group D","high school","standard","none","62","73","69"
"male","group C","some college","standard","none","63","62","61"
"female","group B","some college","standard","completed","44","57","53"
"male","group E","associate's degree","free/reduced","completed","69","57","64"
"female","group C","some college","standard","none","84","90","92"
"male","group C","high school","standard","none","81","61","63"
"female","group D","some college","standard","none","84","89","86"
"female","group E","associate's degree","free/reduced","completed","62","63","70"
"female","group C","some high school","standard","none","58","68","62"
"male","group C","bachelor's degree","standard","completed","80","78","77"
"male","group C","high school","standard","none","26","36","28"
"female","group D","some college","standard","none","69","72","77"
"female","group C","some high school","standard","none","87","87","85"
"female","group A","master's degree","standard","completed","60","73","83"
"male","group D","bachelor's degree","free/reduced","none","70","72","70"
"male","group B","high school","standard","none","70","72","63"
"male","group D","some college","standard","none","88","83","82"
"male","group D","associate's degree","standard","none","73","62","60"
"male","group D","master's degree","free/reduced","none","76","75","72"
"female","group B","bachelor's degree","standard","completed","72","78","81"
"female","group B","bachelor's degree","free/reduced","none","39","44","46"
"female","group C","some college","free/reduced","none","70","73","77"
"female","group B","some high school","free/reduced","completed","53","69","65"
"male","group A","some high school","standard","none","61","52","43"
"female","group E","master's degree","standard","none","68","69","69"
"male","group D","some high school","standard","none","70","58","57"
"male","group B","associate's degree","free/reduced","none","52","57","54"
"female","group E","some high school","standard","none","63","78","69"
"female","group A","high school","standard","none","71","81","82"
"male","group C","some high school","free/reduced","none","55","47","39"
"male","group C","associate's degree","standard","none","59","57","48"
"female","group C","bachelor's degree","free/reduced","none","64","82","79"
"male","group B","associate's degree","standard","none","68","70","69"
"male","group B","bachelor's degree","standard","none","77","69","67"
